"cemetery","district","status_start","status_end","n_obs","start_date","end_date","graves_cum","area_start","area_end"
"Barakaat 1","Yaqshid","existed","closed",8,2018-11-25,2020-10-01,5568,65429.32,95855.572
"Barakaat 2","Heliwaa","did not exist","functional",8,2019-11-17,2020-09-25,1992,1,18391
"Calamada","Afgooye","existed","functional",1,2016-01-19,2016-01-19,0,15573.53,15573.53
"Iskool Bolisii","Xamarjajab","existed","functional",8,2016-11-02,2020-07-30,720,NA,NA
"Kahda","Kaxda","existed","functional",4,2016-10-03,2020-06-10,1175,5012,11424
"Moallim Nuur","Deynile (Garasbaley)","existed","functional",1,2016-01-07,2016-01-07,0,72335,72335
