"date","new_graves_best_ipol","new_graves_excess","new_graves_ocha"
2017-06-11,9,-1,NA
2017-06-12,11,1,NA
2017-06-13,10,0,NA
2017-06-14,9,-1,NA
2017-06-15,11,1,NA
2017-06-16,8,-2,NA
2017-06-17,9,-1,NA
2017-06-18,12,2,NA
2017-06-19,9,-1,NA
2017-06-20,9,-1,NA
2017-06-21,9,-1,NA
2017-06-22,11,1,NA
2017-06-23,9,-1,NA
2017-06-24,9,-1,NA
2017-06-25,11,1,NA
2017-06-26,9,-1,NA
2017-06-27,10,0,NA
2017-06-28,10,0,NA
2017-06-29,9,-1,NA
2017-06-30,10,0,NA
2017-07-01,10,0,NA
2017-07-02,10,0,NA
2017-07-03,8,-2,NA
2017-07-04,11,1,NA
2017-07-05,10,0,NA
2017-07-06,10,0,NA
2017-07-07,9,-1,NA
2017-07-08,9,-1,NA
2017-07-09,10,0,NA
2017-07-10,9,-1,NA
2017-07-11,12,2,NA
2017-07-12,8,-2,NA
2017-07-13,10,0,NA
2017-07-14,10,0,NA
2017-07-15,9,-1,NA
2017-07-16,9,-1,NA
2017-07-17,11,1,NA
2017-07-18,9,-1,NA
2017-07-19,10,0,NA
2017-07-20,11,1,NA
2017-07-21,7,-3,NA
2017-07-22,10,0,NA
2017-07-23,12,2,NA
2017-07-24,9,-1,NA
2017-07-25,9,-1,NA
2017-07-26,9,-1,NA
2017-07-27,11,1,NA
2017-07-28,10,0,NA
2017-07-29,8,-2,NA
2017-07-30,11,1,NA
2017-07-31,9,-1,NA
2017-08-01,10,0,NA
2017-08-02,10,0,NA
2017-08-03,9,-1,NA
2017-08-04,10,0,NA
2017-08-05,10,0,NA
2017-08-06,9,-1,NA
2017-08-07,9,-1,NA
2017-08-08,11,1,NA
2017-08-09,9,-1,NA
2017-08-10,11,1,NA
2017-08-11,9,-1,NA
2017-08-12,8,-2,NA
2017-08-13,11,1,NA
2017-08-14,9,-1,NA
2017-08-15,11,1,NA
2017-08-16,9,-1,NA
2017-08-17,10,0,NA
2017-08-18,9,-1,NA
2017-08-19,10,0,NA
2017-08-20,10,0,NA
2017-08-21,10,0,NA
2017-08-22,9,-1,NA
2017-08-23,10,0,NA
2017-08-24,11,1,NA
2017-08-25,7,-3,NA
2017-08-26,11,1,NA
2017-08-27,11,1,NA
2017-08-28,8,-2,NA
2017-08-29,10,0,NA
2017-08-30,9,-1,NA
