cemetery,time_base,date,graves_best
Barakaat 2,164,2016-06-19,0
Barakaat 2,165,2016-06-20,0
Barakaat 2,166,2016-06-21,0
Barakaat 2,167,2016-06-22,0
Barakaat 2,168,2016-06-23,0
Barakaat 2,169,2016-06-24,0
Barakaat 2,170,2016-06-25,0
Barakaat 2,171,2016-06-26,0
Barakaat 2,172,2016-06-27,0
Barakaat 2,173,2016-06-28,0
Barakaat 2,174,2016-06-29,0
Barakaat 2,175,2016-06-30,0
Barakaat 2,176,2016-07-01,0
Barakaat 2,177,2016-07-02,0
Barakaat 2,178,2016-07-03,0
Barakaat 2,179,2016-07-04,0
Barakaat 2,180,2016-07-05,0
Barakaat 2,181,2016-07-06,0
Barakaat 2,182,2016-07-07,0
Barakaat 2,183,2016-07-08,0
Barakaat 2,184,2016-07-09,0
Barakaat 2,185,2016-07-10,0
Barakaat 2,186,2016-07-11,0
Barakaat 2,187,2016-07-12,0
Barakaat 2,188,2016-07-13,0
Barakaat 2,189,2016-07-14,0
Barakaat 2,190,2016-07-15,0
Barakaat 2,191,2016-07-16,0
Barakaat 2,192,2016-07-17,0
Barakaat 2,193,2016-07-18,0
Barakaat 2,194,2016-07-19,0
Barakaat 2,195,2016-07-20,0
Barakaat 2,196,2016-07-21,0
Barakaat 2,197,2016-07-22,0
Barakaat 2,198,2016-07-23,0
Barakaat 2,199,2016-07-24,0
Barakaat 2,200,2016-07-25,0
Barakaat 2,201,2016-07-26,0
Barakaat 2,202,2016-07-27,0
Barakaat 2,203,2016-07-28,0
Barakaat 2,204,2016-07-29,0
Barakaat 2,205,2016-07-30,0
Barakaat 2,206,2016-07-31,0
Barakaat 2,207,2016-08-01,0
Barakaat 2,208,2016-08-02,0
Barakaat 2,209,2016-08-03,0
Barakaat 2,210,2016-08-04,0
Barakaat 2,211,2016-08-05,0
Barakaat 2,212,2016-08-06,0
Barakaat 2,213,2016-08-07,0
Barakaat 2,214,2016-08-08,0
Barakaat 2,215,2016-08-09,0
Barakaat 2,216,2016-08-10,0
Barakaat 2,217,2016-08-11,0
Barakaat 2,218,2016-08-12,0
Barakaat 2,219,2016-08-13,0
Barakaat 2,220,2016-08-14,0
Barakaat 2,221,2016-08-15,0
