"date","new_area_ipol","new_area_index","new_area_excess"
2016-10-04,0,0,-55.301188868608
2016-10-05,84,73.7349184914773,18.4337296228693
2016-10-06,82,61.4457654095644,6.14457654095644
2016-10-07,83,79.8794950324337,24.5783061638258
2016-10-08,82,73.7349184914773,18.4337296228693
2016-10-09,84,79.8794950324337,24.5783061638258
2016-10-10,83,67.5903419505209,12.2891530819129
2016-10-11,81,79.8794950324337,24.5783061638258
2016-10-12,83,67.5903419505209,12.2891530819129
2016-10-13,83,79.8794950324337,24.5783061638258
2016-10-14,84,61.4457654095644,6.14457654095644
2016-10-15,82,79.8794950324337,24.5783061638258
2016-10-16,83,79.8794950324337,24.5783061638258
2016-10-17,83,73.7349184914773,18.4337296228693
2016-10-18,82,73.7349184914773,18.4337296228693
2016-10-19,83,67.5903419505209,12.2891530819129
2016-10-20,83,79.8794950324337,24.5783061638258
2016-10-21,83,73.7349184914773,18.4337296228693
2016-10-22,83,73.7349184914773,18.4337296228693
2016-10-23,82,67.5903419505209,12.2891530819129
2016-10-24,84,73.7349184914773,18.4337296228693
2016-10-25,81,79.8794950324337,24.5783061638258
2016-10-26,83,73.7349184914773,18.4337296228693
2016-10-27,82,73.7349184914773,18.4337296228693
2016-10-28,84,73.7349184914773,18.4337296228693
2016-10-29,84,73.7349184914773,18.4337296228693
2016-10-30,81,67.5903419505209,12.2891530819129
2016-10-31,83,79.8794950324337,24.5783061638258
2016-11-01,83,67.5903419505209,12.2891530819129
2016-11-02,83,79.8794950324337,24.5783061638258
2016-11-03,64,55.301188868608,0
2016-11-04,65,55.301188868608,0
2016-11-05,66,49.1566123276515,-6.14457654095644
2016-11-06,64,55.301188868608,0
2016-11-07,65,55.301188868608,0
2016-11-08,65,61.4457654095644,6.14457654095644
2016-11-09,64,49.1566123276515,-6.14457654095644
2016-11-10,65,49.1566123276515,-6.14457654095644
2016-11-11,65,61.4457654095644,6.14457654095644
2016-11-12,66,55.301188868608,0
2016-11-13,63,61.4457654095644,6.14457654095644
2016-11-14,66,43.0120357866951,-12.2891530819129
2016-11-15,64,61.4457654095644,6.14457654095644
2016-11-16,65,49.1566123276515,-6.14457654095644
2016-11-17,65,55.301188868608,0
2016-11-18,64,55.301188868608,0
2016-11-19,66,55.301188868608,0
2016-11-20,64,61.4457654095644,6.14457654095644
2016-11-21,66,55.301188868608,0
2016-11-22,64,43.0120357866951,-12.2891530819129
2016-11-23,64,55.301188868608,0
2016-11-24,65,55.301188868608,0
2016-11-25,65,61.4457654095644,6.14457654095644
2016-11-26,66,55.301188868608,0
2016-11-27,63,55.301188868608,0
2016-11-28,66,49.1566123276515,-6.14457654095644
2016-11-29,64,55.301188868608,0
2016-11-30,65,55.301188868608,0
2016-12-01,65,49.1566123276515,-6.14457654095644
2016-12-02,64,61.4457654095644,6.14457654095644
2016-12-03,66,55.301188868608,0
2016-12-04,64,55.301188868608,0
2016-12-05,66,55.301188868608,0
2016-12-06,65,55.301188868608,0
2016-12-07,63,49.1566123276515,-6.14457654095644
2016-12-08,66,55.301188868608,0
2016-12-09,64,55.301188868608,0
2016-12-10,66,49.1566123276515,-6.14457654095644
2016-12-11,63,61.4457654095644,6.14457654095644
2016-12-12,66,55.301188868608,0
2016-12-13,65,61.4457654095644,6.14457654095644
2016-12-14,64,49.1566123276515,-6.14457654095644
2016-12-15,66,43.0120357866951,-12.2891530819129
2016-12-16,63,61.4457654095644,6.14457654095644
2016-12-17,65,55.301188868608,0
2016-12-18,65,61.4457654095644,6.14457654095644
2016-12-19,66,49.1566123276515,-6.14457654095644
2016-12-20,65,61.4457654095644,6.14457654095644
2016-12-21,63,49.1566123276515,-6.14457654095644
2016-12-22,66,55.301188868608,0
2016-12-23,64,49.1566123276515,-6.14457654095644
2016-12-24,65,55.301188868608,0
2016-12-25,66,61.4457654095644,6.14457654095644
2016-12-26,64,55.301188868608,0
2016-12-27,65,49.1566123276515,-6.14457654095644
2016-12-28,64,55.301188868608,0
2016-12-29,66,55.301188868608,0
2016-12-30,63,55.301188868608,0
2016-12-31,65,55.301188868608,0
2017-01-01,67,55.301188868608,0
2017-01-02,64,49.1566123276515,-6.14457654095644
2017-01-03,65,61.4457654095644,6.14457654095644
2017-01-04,63,55.301188868608,0
2017-01-05,66,49.1566123276515,-6.14457654095644
2017-01-06,64,55.301188868608,0
2017-01-07,65,49.1566123276515,-6.14457654095644
2017-01-08,66,61.4457654095644,6.14457654095644
2017-01-09,63,43.0120357866951,-12.2891530819129
2017-01-10,64,61.4457654095644,6.14457654095644
2017-01-11,64,55.301188868608,0
2017-01-12,66,49.1566123276515,-6.14457654095644
2017-01-13,63,61.4457654095644,6.14457654095644
2017-01-14,65,49.1566123276515,-6.14457654095644
2017-01-15,66,49.1566123276515,-6.14457654095644
2017-01-16,64,55.301188868608,0
2017-01-17,65,61.4457654095644,6.14457654095644
2017-01-18,64,49.1566123276515,-6.14457654095644
2017-01-19,65,49.1566123276515,-6.14457654095644
2017-01-20,64,61.4457654095644,6.14457654095644
2017-01-21,64,55.301188868608,0
2017-01-22,66,55.301188868608,0
2017-01-23,63,43.0120357866951,-12.2891530819129
2017-01-24,65,61.4457654095644,6.14457654095644
2017-01-25,65,49.1566123276515,-6.14457654095644
2017-01-26,65,55.301188868608,0
2017-01-27,64,55.301188868608,0
2017-01-28,64,49.1566123276515,-6.14457654095644
2017-01-29,66,61.4457654095644,6.14457654095644
2017-01-30,64,49.1566123276515,-6.14457654095644
2017-01-31,64,49.1566123276515,-6.14457654095644
2017-02-01,64,55.301188868608,0
