STATE,REGION,DISTRICT,ADM1_VIZ_N,ADM2_VIZ_N,REGION CODE,DISRICT CODE,REG-DIST,Total Pop,Positivity,Attack rate per 100K,Number of Cases,Total Tested,Increase or decrease from mean
Jubaland State,GEDO,DOLO,Gedo,Dolo,GDO,DLO,GDO-DLO,"85,336",20,1,1,6,-1
Puntland,MUDUG PL,GOLDOGOB,Mudug PL,Goldogob,MUD,GDB,MUD-GDB,"155,901",16,1,1,4,-1
Jubaland State,GEDO,BARDERA,Gedo,Bardera,GDO,BRD,GDO-BRD,"172,268",3,1,1,22,-1
South West State,LOWER SHABELLE,WANLEWEYNE,Lower Shabelle,Wanleweyne,LSH,WLW,LSH-WLW,"319,547",16,0,1,2,-1
Hir-Shabelle State,MIDDLE SHABELLE,ADALE,Middle Shabelle,Adale,MSH,ADL,MSH-ADL,"35,731",,0,0,,9
Hir-Shabelle State,MIDDLE SHABELLE,ADEN YABAL,Middle Shabelle,Aden Yabal,MSH,ADY,MSH-ADY,"85,950",,0,0,,9
Somaliland,TOGDHER,AINABO,Togdher,Ainabo,TOG,ANB,TOG-ANB,"81,380",,0,0,,9
South West State,LOWER SHABELLE,AWDHEEGLE,Lower Shabelle,Awdheegle,LSH,AWD,LSH-AWD,"166,710",,0,0,,9
Somaliland,GALBEED,B/GUBADLE,Galbeed,B/Gubadle,WGB,BGB,WGB-BGB,"79,356",,0,0,,9
Jubaland State,LOWER JUBA,BADADE,Lower Juba,Badade,LJB,BDD,LJB-BDD,"71,364",,0,0,,9
Somaliland,SANAG,BADAN,Sanag,Badan,SNG,BDN,SNG-BDN,"134,008",0,0,0,1,9
Somaliland,AWDAL,BAKI,Awdal,Baki,AWL,BKI,AWL-BKI,"55,939",,0,0,,9
South West State,BAY,BARDALE,Bay,Bardale,BAY,BDL,BAY-BDL,"121,695",,0,0,,9
Puntland,BARI,BARGAL,Bari,Bargaal,BRI,BAR,BRI-BAR,"29,556",,0,0,,9
Puntland,KARKAR,BENDER BAYLA,Karkar,Bender Bayla,KRK,BBL,KRK-BBL,"42,436",,0,0,,9
Jubaland State,MIDDLE JUBA,BUAALE,Middle Juba,Buaale,MJB,BUA,MJB-BUA,"85,890",,0,0,,9
Jubaland State,GEDO,BURDUBO,Gedo,Burdubo,GDO,BDB,GDO-BDB,"34,083",,0,0,,9
Puntland,NUGAL,BURTINLE,Nugal,Burtinle,NUG,BRT,NUG-BRT,"110,183",0,0,0,1,9
Puntland,NUGAL,DANGOROYO,Nugal,Dangoroyo,NUG,DNG,NUG-DNG,"47,800",,0,0,,9
South West State,BAY,DINSOR,Bay,Dinsor,BAY,DNS,BAY-DNS,"147,033",,0,0,,9
Somaliland,SANAG,EL AFWEIN,Sanag,El Afwein,SNG,ELF,SNG-ELF,"78,656",,0,0,,9
South West State,BAKOL,EL BARDE,Bakol,El Barde,BKL,ELB,BKL-ELB,"71,343",,0,0,,9
Galmudug State,GALGADUD,EL BUR,Galgadud,El Bur,GDD,ELB,GDD-ELB,"91,928",,0,0,,9
Galmudug State,GALGADUD,EL DHERE,Galgadud,El Dhere,GDD,ELD,GDD-ELD,"89,040",0,0,0,1,9
Jubaland State,GEDO,EL WAQ,Gedo,El Waq,GDO,ELW,GDO-ELW,"87,596",,0,0,,9
Galmudug State,GALGADUD,ELGARAS,Galgadud,Elgaras,GDD,ELG,GDD-ELG,"54,750",,0,0,,9
Puntland,NUGAL,EYL,Nugal,Eyl,NUG,EIL,NUG-EIL,"65,989",,0,0,,9
Galmudug State,GALGADUD,GALAD,Galgadud,Galad,GDD,GLD,GDD-GLD,"56,840",,0,0,,9
Galmudug State,GALGADUD,GALHARERI,Galgadud,Galhareri,GDD,GHR,GDD-GHR,"47,457",,0,0,,9
Galmudug State,GALGADUD,GALINSOR,Galgadud,Galinsor,GDD,GLS,GDD-GLS,"40,366",,0,0,,9
Jubaland State,GEDO,GEDWEIN,Gedo,Gedwein,GDO,GDW,GDO-GDW,"37,451",,0,0,,9
Puntland,KARKAR,HAFUN,Karkar,Hafun,KRK,HFN,KRK-HFN,"30,045",,0,0,,9
Jubaland State,LOWER JUBA,HAGAR,Lower Juba,Hagar,LJB,HGR,LJB-HGR,"50,530",,0,0,,9
